transactionId,date,region,salesperson,productCategory,quantity,unitPrice,totalAmount
TXN0010,2024-01-03,NORTH,Alice Nguyen,APPAREL,1,55.93,55.93
TXN0009,2024-01-05,WEST,Hector Alvarez,ELECTRONICS,3,591.87,1775.61
TXN0004,2024-01-09,NORTH,Alice Nguyen,FURNITURE,10,606.37,6063.70
TXN0007,2024-01-09,WEST,Hector Alvarez,ELECTRONICS,6,796.54,4779.24
TXN0013,2024-01-16,EAST,Farhan Iqbal,TOYS,5,51.01,255.05
TXN0002,2024-01-18,WEST,Hector Alvarez,APPAREL,5,40.67,203.35
TXN0012,2024-01-18,EAST,Elena Rossi,ELECTRONICS,2,1133.67,2267.34
TXN0001,2024-01-19,NORTH,Alice Nguyen,GROCERY,3,17.73,53.19
TXN0006,2024-01-19,EAST,Elena Rossi,ELECTRONICS,10,589.83,5898.30
TXN9001,2024-01-19,NORTH,Alice Nguyen,ELECTRONICS,3
TXN0008,2024-01-21,SOUTH,Dmitri Volkov,ELECTRONICS,2,411.33,822.66
TXN0011,2024-01-22,SOUTH,Carla Mendes,GROCERY,6,24.46,146.76
TXN0003,2024-01-27,NORTH,Brian Okafor,APPAREL,3,146.55,439.65
TXN0014,2024-01-27,SOUTH,Dmitri Volkov,FURNITURE,8,128.45,1027.60
TXN0005,2024-01-29,EAST,Farhan Iqbal,TOYS,1,84.75,84.75
TXN0026,2024-02-04,SOUTH,Carla Mendes,GROCERY,1,34.67,34.67
TXN0019,2024-02-10,NORTH,Brian Okafor,GROCERY,6,12.33,73.98
TXN0025,2024-02-11,EAST,Farhan Iqbal,TOYS,1,91.13,91.13
TXN0020,2024-02-16,NORTH,Alice Nguyen,ELECTRONICS,3,983.34,2950.02
TXN0024,2024-02-16,NORTH,Alice Nguyen,TOYS,8,63.06,504.48
TXN0018,2024-02-18,EAST,Elena Rossi,GROCERY,5,5.68,28.40
TXN0022,2024-02-21,SOUTH,Dmitri Volkov,GROCERY,8,15.67,125.36
TXN0023,2024-02-21,EAST,Farhan Iqbal,TOYS,2,22.98,45.96
TXN0016,2024-02-22,SOUTH,Carla Mendes,GROCERY,2,21.38,42.76
TXN0015,2024-02-25,WEST,Grace Lindqvist,APPAREL,4,143.78,575.12
TXN0017,2024-02-26,WEST,Hector Alvarez,TOYS,10,69.30,693.00
TXN0021,2024-02-27,NORTH,Alice Nguyen,ELECTRONICS,6,192.97,1157.82
TXN9002,2024-02-27,SOUTH,Carla Mendes,APPAREL,two,44.00,88.00
TXN0038,2024-03-03,EAST,Elena Rossi,TOYS,10,43.64,436.40
TXN0043,2024-03-07,EAST,Farhan Iqbal,APPAREL,3,106.89,320.67
TXN0040,2024-03-08,NORTH,Alice Nguyen,APPAREL,5,103.07,515.35
TXN0035,2024-03-10,WEST,Hector Alvarez,TOYS,8,83.82,670.56
TXN0032,2024-03-11,SOUTH,Carla Mendes,APPAREL,2,142.02,284.04
TXN0033,2024-03-14,SOUTH,Carla Mendes,FURNITURE,8,540.38,4323.04
TXN0027,2024-03-18,SOUTH,Dmitri Volkov,GROCERY,3,26.64,79.92
TXN0039,2024-03-19,EAST,Elena Rossi,FURNITURE,12,208.70,2504.40
TXN0042,2024-03-24,SOUTH,Dmitri Volkov,GROCERY,1,3.27,3.27
TXN0041,2024-03-25,WEST,Hector Alvarez,TOYS,2,107.08,214.16
TXN0028,2024-03-26,NORTH,Brian Okafor,TOYS,10,68.27,682.70
TXN0029,2024-03-26,NORTH,Alice Nguyen,FURNITURE,4,440.03,1760.12
TXN0037,2024-03-27,SOUTH,Dmitri Volkov,GROCERY,3,18.70,56.10
